41657.63,57.75,5634
41657.67,57.54,5697
41657.71,78.46,5976
41657.75,69.46,6082
41657.79,68.83,6018
41657.83,61.14,5901
41657.88,61.17,5767
41657.92,59.95,5611
41657.96,59.93,5367
41658,61.62,5028
41658.04,55.14,4807
41658.08,51.39,4640
41658.13,51.68,4562
41658.17,54.09,4487
41658.21,55.52,4423
41658.25,56.44,4449
41658.29,59.18,4630
41658.33,60.89,4868
41658.38,68.35,5166
41658.42,80.62,5393
41658.46,80.37,5511
41658.5,71.54,5562
41658.54,70.76,5581
41658.58,66.37,5577
41658.63,66.53,5595
41658.67,85.76,5677
41658.71,132.32,5958
41658.75,115.87,6083
41658.79,104.89,6054
